Date,Open,High,Low,Close,Adj Close,Volume
25/08/1993,1,1.008929,0.955357,0.973214,0.277812,36442000
26/08/1993,0.973214,0.973214,0.946429,0.959821,0.273989,44035600
27/08/1993,0.964286,0.964286,0.9375,0.946429,0.270166,46642400
30/08/1993,0.946429,0.946429,0.924107,0.928571,0.265069,68434800
31/08/1993,0.946429,0.955357,0.928571,0.946429,0.270166,31967600
01/09/1993,0.946429,0.955357,0.919643,0.933036,0.266343,56392000
02/09/1993,0.928571,0.9375,0.901786,0.919643,0.26252,70565600
03/09/1993,0.928571,0.928571,0.901786,0.919643,0.26252,40734400
07/09/1993,0.928571,0.964286,0.919643,0.9375,0.267617,35884800
08/09/1993,0.9375,0.964286,0.928571,0.955357,0.272715,56658000
09/09/1993,0.955357,0.964286,0.928571,0.928571,0.265069,37382800
10/09/1993,0.9375,0.9375,0.90625,0.9375,0.267617,33622400
13/09/1993,0.9375,0.946429,0.883929,0.901786,0.257422,63946400
14/09/1993,0.866071,0.892857,0.857143,0.866071,0.247227,69160000
15/09/1993,0.875,0.892857,0.839286,0.875,0.249776,64430800
16/09/1993,0.866071,0.892857,0.866071,0.883929,0.252325,21490000
17/09/1993,0.870536,0.910714,0.866071,0.901786,0.257422,43008000
20/09/1993,0.901786,0.910714,0.883929,0.888393,0.253599,27759200
21/09/1993,0.883929,0.901786,0.852679,0.875,0.249776,36624000
22/09/1993,0.866071,0.910714,0.866071,0.910714,0.259971,27622000
23/09/1993,0.910714,0.910714,0.875,0.883929,0.252325,32737600
24/09/1993,0.892857,0.901786,0.875,0.892857,0.254874,19143600
27/09/1993,0.892857,0.901786,0.866071,0.883929,0.252325,28294000
28/09/1993,0.883929,0.892857,0.866071,0.883929,0.252325,23637600
29/09/1993,0.866071,0.888393,0.848214,0.852679,0.243404,59186400
30/09/1993,0.857143,0.857143,0.821429,0.834821,0.238307,68726000
01/10/1993,0.8125,0.821429,0.803571,0.8125,0.231935,83997200
04/10/1993,0.808036,0.821429,0.785714,0.8125,0.231935,48210400
05/10/1993,0.821429,0.857143,0.821429,0.839286,0.239581,44077600
06/10/1993,0.848214,0.857143,0.834821,0.84375,0.240856,43820000
07/10/1993,0.839286,0.848214,0.8125,0.821429,0.234484,33726000
08/10/1993,0.830357,0.830357,0.794643,0.808036,0.230661,34851600
11/10/1993,0.8125,0.857143,0.8125,0.848214,0.24213,40286400
12/10/1993,0.857143,0.892857,0.848214,0.857143,0.244679,76585600
13/10/1993,0.866071,0.866071,0.839286,0.857143,0.244679,44251200
14/10/1993,0.857143,0.875,0.839286,0.848214,0.24213,40171600
15/10/1993,0.991071,1.017857,0.955357,1.008929,0.288007,238812000
18/10/1993,1,1.026786,0.991071,1.013393,0.289282,83249600
19/10/1993,1.008929,1.017857,0.973214,0.991071,0.28291,53393200
20/10/1993,1,1.008929,0.973214,0.991071,0.28291,34602400
21/10/1993,0.982143,1.116071,0.973214,1.080357,0.308397,156777600
22/10/1993,1.089286,1.125,1.0625,1.080357,0.308397,99019200
25/10/1993,1.080357,1.089286,1.058036,1.071429,0.305848,54782000
26/10/1993,1.0625,1.071429,1.035714,1.0625,0.3033,55619200
27/10/1993,1.071429,1.151786,1.0625,1.133929,0.323689,114766400
28/10/1993,1.133929,1.151786,1.107143,1.107143,0.316043,61115600
29/10/1993,1.107143,1.133929,1.089286,1.098214,0.313495,34216000
01/11/1993,1.098214,1.125,1.080357,1.125,0.321141,26493600
02/11/1993,1.116071,1.178571,1.107143,1.169643,0.333884,56061600
03/11/1993,1.178571,1.178571,1.107143,1.129464,0.322415,44240000
04/11/1993,1.125,1.151786,1.098214,1.151786,0.328787,46342800
05/11/1993,1.138393,1.151786,1.098214,1.138393,0.324964,94508400
08/11/1993,1.142857,1.147321,1.089286,1.098214,0.313495,41748000
09/11/1993,1.107143,1.116071,1.0625,1.075893,0.307123,42812000
10/11/1993,1.080357,1.098214,1.071429,1.098214,0.313495,19244400
11/11/1993,1.098214,1.142857,1.089286,1.120536,0.319866,35607600
12/11/1993,1.125,1.142857,1.089286,1.133929,0.323689,35915600
15/11/1993,1.125,1.169643,1.125,1.142857,0.326238,39275600
16/11/1993,1.142857,1.223214,1.133929,1.214286,0.346628,75770800
17/11/1993,1.214286,1.25,1.169643,1.196429,0.341531,75656000
18/11/1993,1.196429,1.205357,1.178571,1.196429,0.341531,28602000
19/11/1993,1.178571,1.196429,1.160714,1.178571,0.373939,30741200
22/11/1993,1.169643,1.178571,1.151786,1.160714,0.368273,37651600
23/11/1993,1.160714,1.178571,1.116071,1.178571,0.373939,46541600
24/11/1993,1.169643,1.196429,1.165179,1.178571,0.373939,22610000
26/11/1993,1.169643,1.178571,1.151786,1.165179,0.369689,10861200
29/11/1993,1.151786,1.160714,1.125,1.133929,0.359774,24178000
30/11/1993,1.133929,1.165179,1.125,1.125,0.356941,28165200
01/12/1993,1.142857,1.151786,1.116071,1.125,0.356941,27804000
02/12/1993,1.133929,1.142857,1.107143,1.133929,0.359774,25163600
03/12/1993,1.133929,1.142857,1.107143,1.125,0.356941,30116800
06/12/1993,1.125,1.160714,1.116071,1.151786,0.36544,39244800
07/12/1993,1.142857,1.151786,1.125,1.151786,0.36544,15962800
08/12/1993,1.142857,1.151786,1.125,1.138393,0.361191,9898000
09/12/1993,1.133929,1.142857,1.0625,1.071429,0.339944,45690400
10/12/1993,1.080357,1.089286,0.991071,1.008929,0.320114,124314400
13/12/1993,1.008929,1.053571,0.991071,1.053571,0.334279,61082000
14/12/1993,1.044643,1.0625,1.035714,1.040179,0.330029,73416000
15/12/1993,1.035714,1.0625,1.035714,1.0625,0.337111,30970800
16/12/1993,1.053571,1.0625,1.035714,1.049107,0.332862,31592400
17/12/1993,1.053571,1.0625,1.040179,1.053571,0.334279,36288000
20/12/1993,1.044643,1.0625,1.008929,1.017857,0.322947,47258400
21/12/1993,1.017857,1.026786,0.973214,0.982143,0.311616,62781600
22/12/1993,0.973214,1.017857,0.964286,1,0.317281,45343200
23/12/1993,0.973214,0.973214,0.946429,0.973214,0.308783,56739200
27/12/1993,0.991071,1.026786,0.973214,1.017857,0.322947,39984000
28/12/1993,1.026786,1.053571,1.017857,1.040179,0.330029,39874800
29/12/1993,1.044643,1.044643,1.017857,1.017857,0.322947,26838000
30/12/1993,1.017857,1.080357,1.017857,1.0625,0.337111,78638000
31/12/1993,1.0625,1.080357,1.044643,1.044643,0.331446,40241600
03/01/1994,1.053571,1.071429,1.035714,1.066964,0.338528,45382400
04/01/1994,1.080357,1.125,1.071429,1.125,0.356941,71293600
