Date,Open,High,Low,Close,Adj Close,Volume
1990-12-17,1.392857,1.446429,1.392857,1.433036,0.188548,32776800
1990-12-18,1.464286,1.517857,1.455357,1.508929,0.198533,55246800
1990-12-19,1.517857,1.517857,1.468750,1.495536,0.196771,35165200
1990-12-20,1.473214,1.589286,1.473214,1.571429,0.206757,100268000
1990-12-21,1.580357,1.616071,1.553571,1.607143,0.211456,86534000
1990-12-24,1.598214,1.607143,1.571429,1.571429,0.206757,14680400
1990-12-26,1.571429,1.580357,1.535714,1.562500,0.205582,25768400
1990-12-27,1.544643,1.571429,1.544643,1.553571,0.204407,24413200
1990-12-28,1.544643,1.553571,1.526786,1.535714,0.202058,15982400
1990-12-31,1.535714,1.544643,1.526786,1.535714,0.202058,11068400
1991-01-02,1.526786,1.571429,1.500000,1.553571,0.204407,38746400
1991-01-03,1.553571,1.580357,1.535714,1.535714,0.202058,37545200
1991-01-04,1.535714,1.580357,1.535714,1.544643,0.203232,35380800
1991-01-07,1.535714,1.616071,1.535714,1.544643,0.203232,77700000
1991-01-08,1.562500,1.566964,1.517857,1.544643,0.203232,54672800
1991-01-09,1.580357,1.642857,1.562500,1.616071,0.212630,116816000
1991-01-10,1.633929,1.687500,1.633929,1.683036,0.221441,108830400
1991-01-11,1.678571,1.687500,1.642857,1.678571,0.220854,76913200
1991-01-14,1.642857,1.669643,1.642857,1.651786,0.217329,52710000
1991-01-15,1.660714,1.669643,1.642857,1.669643,0.219679,48014400
1991-01-16,1.678571,1.785714,1.669643,1.776786,0.233776,97658400
1991-01-17,1.875000,1.883929,1.750000,1.830357,0.240824,147918400
1991-01-18,1.741071,1.812500,1.732143,1.794643,0.236125,235810400
1991-01-21,1.776786,1.839286,1.776786,1.812500,0.238475,81076800
1991-01-22,1.821429,1.875000,1.803571,1.830357,0.240824,106932000
1991-01-23,1.830357,1.866071,1.821429,1.848214,0.243174,61065200
1991-01-24,1.839286,1.883929,1.839286,1.861607,0.244936,58483600
1991-01-25,1.857143,1.915179,1.857143,1.910714,0.251397,55952400
1991-01-28,1.901786,1.973214,1.901786,1.946429,0.256096,68370400
1991-01-29,1.937500,1.946429,1.866071,1.919643,0.252572,53888800
1991-01-30,1.901786,1.991071,1.901786,1.982143,0.260795,84193200
1991-01-31,1.982143,2.000000,1.955357,1.982143,0.260795,60648000
1991-02-01,1.982143,2.066964,1.982143,1.991071,0.261970,111137600
1991-02-04,1.991071,2.000000,1.964286,1.973214,0.259620,66962000
1991-02-05,1.973214,2.071429,1.955357,2.062500,0.271368,89028800
1991-02-06,2.062500,2.080357,2.017857,2.031250,0.267256,55641600
1991-02-07,2.035714,2.098214,1.991071,2.062500,0.271368,130043200
1991-02-08,2.053571,2.151786,2.053571,2.138393,0.281353,78388800
1991-02-11,2.142857,2.196429,2.133929,2.191964,0.288402,80757600
1991-02-12,2.178571,2.187500,2.120536,2.142857,0.281941,56187600
1991-02-13,2.142857,2.151786,2.071429,2.142857,0.281941,63887600
1991-02-14,2.142857,2.142857,2.026786,2.040179,0.268431,94418800
1991-02-15,2.044643,2.089286,2.044643,2.058036,0.287703,91403200
1991-02-19,2.053571,2.151786,2.049107,2.142857,0.299560,56562800
1991-02-20,2.125000,2.205357,2.116071,2.178571,0.304553,53410000
1991-02-21,2.187500,2.223214,2.098214,2.107143,0.294568,47717600
1991-02-22,2.107143,2.205357,2.089286,2.133929,0.298312,58142000
1991-02-25,2.151786,2.160714,2.053571,2.071429,0.289575,89818400
1991-02-26,2.053571,2.098214,2.017857,2.080357,0.290823,62504400
1991-02-27,2.080357,2.089286,2.053571,2.080357,0.290823,43593200
1991-02-28,2.080357,2.089286,2.008929,2.044643,0.285831,56840000
1991-03-01,2.035714,2.107143,2.035714,2.062500,0.288327,31533600
1991-03-04,2.071429,2.098214,2.035714,2.084821,0.291447,22089200
1991-03-05,2.107143,2.258929,2.107143,2.254464,0.315162,110362000
1991-03-06,2.285714,2.343750,2.245536,2.250000,0.314538,130989600
1991-03-07,2.267857,2.410714,2.258929,2.401786,0.335757,80438400
1991-03-08,2.419643,2.437500,2.321429,2.321429,0.324524,80550400
1991-03-11,2.303571,2.312500,2.223214,2.267857,0.317035,43842400
1991-03-12,2.250000,2.276786,2.232143,2.245536,0.313914,58419200
1991-03-13,2.241071,2.375000,2.241071,2.366071,0.330765,43638000
1991-03-14,2.383929,2.410714,2.303571,2.330357,0.325772,56767200
1991-03-15,2.348214,2.375000,2.330357,2.366071,0.330765,51209200
1991-03-18,2.348214,2.437500,2.348214,2.419643,0.338254,53502400
1991-03-19,2.375000,2.508929,2.348214,2.482143,0.346991,105548800
1991-03-20,2.473214,2.482143,2.388393,2.419643,0.338254,90426000
1991-03-21,2.437500,2.455357,2.276786,2.312500,0.323276,74200000
1991-03-22,2.285714,2.312500,2.223214,2.258929,0.315787,84532000
1991-03-25,2.267857,2.321429,2.258929,2.303571,0.322027,33964000
1991-03-26,2.312500,2.508929,2.312500,2.500000,0.349487,83406400
1991-03-27,2.500000,2.508929,2.446429,2.473214,0.345743,47555200
